year,month,rf,rM
1961,1,0.001940,0.063952
1961,2,0.001649,0.037005
1961,3,0.002012,0.030610
1961,4,0.001746,0.005645
1961,5,0.001774,0.025894
1961,6,0.002008,-.028499
1961,7,0.001824,0.029955
1961,8,0.001358,0.026854
1961,9,0.001677,-.019990
1961,10,0.001921,0.027331
1961,11,0.001607,0.045451
1961,12,0.001864,0.000713
1962,1,0.002348,-.036147
1962,2,0.001989,0.019512
1962,3,0.002007,-.004688
1962,4,0.002278,-.063435
1962,5,0.002296,-.084620
1962,6,0.001937,-.082615
1962,7,0.002727,0.065438
1962,8,0.002180,0.023417
1962,9,0.002072,-.050158
1962,10,0.002533,0.002188
1962,11,0.002021,0.110137
1962,12,0.002519,0.011865
1963,1,0.002512,0.051848
1963,2,0.002260,-.021931
1963,3,0.002262,0.032917
1963,4,0.002661,0.047439
1963,5,0.002430,0.020051
1963,6,0.002282,-.018030
1963,7,0.002784,-.001717
1963,8,0.002484,0.052684
1963,9,0.002755,-.011898
1963,10,0.002919,0.027708
1963,11,0.002659,-.005549
1963,12,0.003060,0.021737
1964,1,0.002866,0.025790
1964,2,0.002636,0.017207
1964,3,0.003298,0.017636
1964,4,0.002904,0.004607
1964,5,0.002570,0.017403
1964,6,0.003136,0.015080
1964,7,0.002808,0.020118
1964,8,0.002772,-.011266
1964,9,0.002686,0.030480
1964,10,0.002997,0.008869
1964,11,0.002915,0.003090
1964,12,0.003040,0.003690
1965,1,0.002915,0.038646
1965,2,0.003198,0.006946
1965,3,0.003486,-.009715
1965,4,0.003118,0.033652
1965,5,0.003283,-.004351
1965,6,0.003380,-.051868
1965,7,0.003218,0.016760
1965,8,0.003309,0.030883
1965,9,0.003114,0.031952
1965,10,0.003391,0.029271
1965,11,0.003380,0.003065
1965,12,0.003126,0.013545
1966,1,0.003630,0.012122
1966,2,0.003481,-.008621
1966,3,0.003795,-.020923
1966,4,0.003638,0.024837
1966,5,0.004043,-.052538
1966,6,0.003672,-.010317
1966,7,0.003847,-.012870
1966,8,0.004119,-.075388
1966,9,0.003890,-.006958
1966,10,0.004389,0.042294
1966,11,0.003932,0.017516
1966,12,0.003630,0.006210
1967,1,0.003927,0.085530
1967,2,0.003743,0.010945
1967,3,0.003693,0.043384
1967,4,0.003344,0.041609
1967,5,0.003126,-.039293
1967,6,0.002674,0.026902
1967,7,0.003153,0.049190
1967,8,0.003240,-.006282
1967,9,0.003177,0.034286
1967,10,0.003649,-.027433
1967,11,0.003416,0.007902
1967,12,0.003565,0.033699
1968,1,0.003934,-.036331
1968,2,0.003849,-.033624
1968,3,0.003977,0.005117
1968,4,0.004263,0.094148
1968,5,0.004672,0.027040
1968,6,0.004436,0.011527
1968,7,0.004790,-.022024
1968,8,0.004476,0.018037
1968,9,0.004203,0.044454
1968,10,0.004394,0.009041
1968,11,0.004457,0.058501
1968,12,0.004249,-.033873
1969,1,0.005025,-.006711
1969,2,0.004619,-.053641
1969,3,0.004802,0.030505
1969,4,0.004859,0.020527
1969,5,0.005215,0.005040
1969,6,0.005137,-.067388
1969,7,0.005520,-.065171
1969,8,0.005890,0.051491
1969,9,0.005856,-.022590
1969,10,0.005724,0.055637
1969,11,0.005509,-.032164
1969,12,0.005846,-.019680
1970,1,0.005781,-.073254
1970,2,0.006167,0.056706
1970,3,0.005542,-.004729
1970,4,0.005286,-.105318
1970,5,0.005546,-.064346
1970,6,0.005546,-.051067
1970,7,0.004886,0.074170
1970,8,0.005020,0.050036
1970,9,0.005034,0.047535
1970,10,0.004954,-.018208
1970,11,0.004489,0.050448
1970,12,0.003786,0.060723
1971,1,0.003777,0.052030
1971,2,0.003344,0.016913
1971,3,0.002924,0.044778
1971,4,0.002804,0.033332
1971,5,0.003127,-.036409
1971,6,0.003505,0.003119
1971,7,0.004272,-.040283
1971,8,0.004446,0.042511
1971,9,0.003630,-.005016
1971,10,0.003855,-.040683
1971,11,0.003506,-.001262
1971,12,0.003152,0.091257
1972,1,0.002850,0.028382
1972,2,0.002659,0.031349
1972,3,0.002590,0.008723
1972,4,0.002962,0.005505
1972,5,0.002942,0.016375
1972,6,0.002800,-.020897
1972,7,0.003084,-.004254
1972,8,0.002988,0.035966
1972,9,0.003546,-.007670
1972,10,0.003891,0.008676
1972,11,0.003739,0.049764
1972,12,0.004185,0.011243
1973,1,0.004410,-.027454
1973,2,0.004277,-.044370
1973,3,0.004750,-.007857
1973,4,0.005002,-.051769
1973,5,0.005098,-.024508
1973,6,0.005379,-.008648
1973,7,0.006540,0.056961
1973,8,0.006855,-.029657
1973,9,0.006749,0.053931
1973,10,0.006856,-.000415
1973,11,0.005529,-.120713
1973,12,0.006961,0.011437
1974,1,0.006274,0.004413
1974,2,0.005819,0.002345
1974,3,0.005677,-.023364
1974,4,0.007949,-.045961
1974,5,0.007235,-.041981
1974,6,0.006892,-.022942
1974,7,0.006756,-.070874
1974,8,0.005940,-.087757
1974,9,0.007997,-.109718
1974,10,0.005254,0.165584
1974,11,0.005139,-.041046
1974,12,0.007009,-.027005
1975,1,0.005387,0.141600
1975,2,0.004326,0.058412
1975,3,0.004014,0.030190
1975,4,0.004489,0.046497
1975,5,0.004869,0.055140
1975,6,0.004133,0.051473
1975,7,0.004811,-.060385
1975,8,0.004815,-.023558
1975,9,0.005575,-.038010
1975,10,0.005185,0.055857
1975,11,0.004127,0.031222
1975,12,0.004983,-.010998
1976,1,0.004402,0.126012
1976,2,0.003452,0.007310
1976,3,0.004344,0.026740
1976,4,0.004440,-.010402
1976,5,0.004124,-.009326
1976,6,0.004446,0.044521
1976,7,0.004390,-.006136
1976,8,0.004745,-.001398
1976,9,0.003924,0.024513
1976,10,0.004092,-.020372
1976,11,0.004440,0.005363
1976,12,0.003579,0.061591
1977,1,0.003594,-.036326
1977,2,0.003499,-.015744
1977,3,0.003769,-.009249
1977,4,0.004114,0.004962
1977,5,0.003855,-.010777
1977,6,0.003716,0.051369
1977,7,0.003873,-.012806
1977,8,0.004993,-.013338
1977,9,0.004330,0.001572
1977,10,0.004943,-.039278
1977,11,0.004959,0.045440
1977,12,0.004700,0.008223
1978,1,0.005374,-.055199
1978,2,0.004941,-.009275
1978,3,0.005017,0.034009
1978,4,0.005712,0.082853
1978,5,0.005317,0.023230
1978,6,0.005369,-.010748
1978,7,0.005591,0.056741
